 ,新字体,旧字体,部首,総画数,学年,追加年,削除年,カナ,カナ,カナ,カナ,カナ,かな,かな,かな,かな,かな,かな,かな
,覚,覺,見,,,,,カク,,,,,おぼ-える,さ-ます,さ-める,,,,
,較,,車,,S,,,カク,,,,,,,,,,,
,隔,,阜,,S,,,カク,,,,,へだ-てる,へだ-たる,,,,,
,閣,,門,,,,,カク,,,,,,,,,,,
,確,,石,,,,,カク,,,,,たし-か,たし-かめる,,,,,
,獲,,犬,,S,,,カク,,,,,え-る,,,,,,
,嚇,,口,,S,,,カク,,,,,,,,,,,
,穫,,禾,,S,,,カク,,,,,,,,,,,
,学,學,子,,,,,ガク,,,,,まな-ぶ,,,,,,
,岳,嶽,山,,S,,,ガク,,,,,たけ,,,,,,
,楽,樂,木,,,,,ガク,ラク,,,,たの-しい,たの-しむ,,,,,
,額,,頁,,,,,ガク,,,,,ひたい,,,,,,
,顎,,頁,,S,,,ガク,,,,,あご,,,,,,
,掛,,手,,S,,,,,,,,か-ける,か-かる,かかり,,,,
,潟,,水,,S,,,,,,,,かた,,,,,,
,括,,手,,S,,,カツ,,,,,,,,,,,
,活,,水,,,,,カツ,,,,,,,,,,,
,喝,喝 ,口,,S,,,カツ,,,,,,,,,,,
,渇,渴,水,,S,,,カツ,,,,,かわ-く,,,,,,
,割,,刀,,,,,カツ,,,,,わ-る,わり,わ-れる,さ-く,,,
,葛 ,,艸,,S,,,カツ,,,,,くず,,,,,,
,滑,,水,,S,,,カツ,コツ,,,,すべ-る,なめ-らか,,,,,
,褐,褐 ,衣,,S,,,カツ,,,,,,,,,,,
,轄,,車,,S,,,カツ,,,,,,,,,,,
,且,,一,,S,,,,,,,,か-つ,,,,,,
,株,,木,,,,,,,,,,かぶ,,,,,,
,釜,,金,,S,,,,,,,,かま,,,,,,
,鎌,,金,,S,,,,,,,,かま,,,,,,
,刈,,刀,,S,,,,,,,,か-る,,,,,,
,干,,干,,,,,カン,,,,,ほ-す,ひ-る,,,,,
,刊,,刀,,,,,カン,,,,,,,,,,,
,甘,,甘,,S,,,カン,,,,,あま-い,あま-える,あま-やかす,,,,
,汗,,水,,S,,,カン,,,,,あせ,,,,,,
,缶,罐,缶,,S,,,カン,,,,,,,,,,,
,完,,宀,,,,,カン,,,,,,,,,,,
,肝,,肉,,S,,,カン,,,,,きも,,,,,,
,官,,宀,,,,,カン,,,,,,,,,,,
,冠,,冖,,S,,,カン,,,,,かんむり,,,,,,
,巻,卷,卩,,,,,カン,,,,,ま-く,まき,,,,,
,看,,目,,,,,カン,,,,,,,,,,,
,陥,陷,阜,,S,,,カン,,,,,おちい-る,おとしい-れる,,,,,
,乾,,乙,,S,,,カン,,,,,かわ-く,かわ-かす,,,,,
,勘,,力,,S,,,カン,,,,,,,,,,,
,患,,心,,S,,,カン,,,,,わずら-う,,,,,,
,貫,,貝,,S,,,カン,,,,,つらぬ-く,,,,,,
,寒,,宀,,,,,カン,,,,,さむ-い,,,,,,
,喚,,口,,S,,,カン,,,,,,,,,,,
,堪,,土,,S,,,カン,,,,,た-える,,,,,,
,換,,手,,S,,,カン,,,,,か-える,か-わる,,,,,
,敢,,攴,,S,,,カン,,,,,,,,,,,
,棺,,木,,S,,,カン,,,,,,,,,,,
,款,,欠,,S,,,カン,,,,,,,,,,,
,間,,門,,,,,カン,ケン,,,,あいだ,ま,,,,,
,閑,,門,,S,,,カン,,,,,,,,,,,
,勧,勸,力,,S,,,カン,,,,,すす-める,,,,,,
,寛,寬,宀,,S,,,カン,,,,,,,,,,,
,幹,,干,,,,,カン,,,,,みき,,,,,,
,感,,心,,,,,カン,,,,,,,,,,,
,漢,漢 ,水,,,,,カン,,,,,,,,,,,
,慣,,心,,,,,カン,,,,,な-れる,な-らす,,,,,
,管,,竹,,,,,カン,,,,,くだ,,,,,,
,関,關,門,,,,,カン,,,,,せき,かか-わる,,,,,
,歓,歡,欠,,S,,,カン,,,,,,,,,,,
,監,,皿,,S,,,カン,,,,,,,,,,,
,緩,,糸,,S,,,カン,,,,,ゆる-い,ゆる-やか,ゆる-む,ゆる-める,,,
,憾,,心,,S,,,カン,,,,,,,,,,,
,還,,辵,,S,,,カン,,,,,,,,,,,
,館,,食,,,,,カン,,,,,やかた,,,,,,
,環,,玉,,S,,,カン,,,,,,,,,,,
